Date,Price,Open,High,Low,Volume,Change %
8/3/2023,"4,000.00","4,000.00","4,100.00","3,900.00",1.41M,0.00%
7/3/2023,"4,000.00","4,000.00","4,100.00","3,900.00",1.23M,0.00%
6/3/2023,"4,000.00","4,000.00","4,100.00","3,900.00",2.00M,2.56%
3/3/2023,"3,900.00","4,100.00","4,300.00","3,900.00",2.97M,-4.88%
2/3/2023,"4,100.00","4,200.00","4,500.00","4,100.00",2.38M,0.00%
1/3/2023,"4,100.00","4,000.00","4,400.00","3,900.00",4.37M,-2.38%
28/02/2023,"4,200.00","4,700.00","4,800.00","4,200.00",5.39M,-8.70%
27/02/2023,"4,600.00","4,200.00","4,600.00","4,100.00",7.10M,9.52%
24/02/2023,"4,200.00","3,900.00","4,200.00","3,800.00",6.31M,7.69%
23/02/2023,"3,900.00","3,900.00","4,000.00","3,700.00",2.46M,-2.50%
22/02/2023,"4,000.00","3,800.00","4,100.00","3,700.00",5.82M,5.26%
21/02/2023,"3,800.00","3,800.00","4,000.00","3,700.00",2.62M,0.00%
20/02/2023,"3,800.00","3,600.00","3,800.00","3,600.00",1.15M,5.56%
17/02/2023,"3,600.00","3,600.00","3,700.00","3,500.00",456.29K,0.00%
16/02/2023,"3,600.00","3,600.00","3,600.00","3,500.00",435.03K,2.86%
15/02/2023,"3,500.00","3,600.00","3,700.00","3,500.00",623.84K,-2.78%
14/02/2023,"3,600.00","3,500.00","3,600.00","3,400.00",353.86K,2.86%
13/02/2023,"3,500.00","3,700.00","3,700.00","3,400.00",1.82M,-2.78%
10/2/2023,"3,600.00","3,600.00","3,800.00","3,600.00",443.12K,-2.70%
9/2/2023,"3,700.00","3,700.00","3,800.00","3,600.00",480.79K,0.00%
8/2/2023,"3,700.00","3,800.00","3,800.00","3,600.00",651.60K,-2.63%
7/2/2023,"3,800.00","3,700.00","3,900.00","3,700.00",1.36M,2.70%
6/2/2023,"3,700.00","3,700.00","3,800.00","3,600.00",544.69K,0.00%
3/2/2023,"3,700.00","3,900.00","3,900.00","3,700.00",502.61K,-2.63%
2/2/2023,"3,800.00","3,800.00","3,900.00","3,700.00",820.02K,0.00%
1/2/2023,"3,800.00","4,000.00","4,100.00","3,700.00",1.87M,-5.00%
31/01/2023,"4,000.00","3,900.00","4,100.00","3,900.00",2.72M,2.56%
30/01/2023,"3,900.00","3,600.00","3,900.00","3,600.00",3.05M,8.33%
27/01/2023,"3,600.00","3,600.00","3,700.00","3,600.00",684.04K,0.00%
19/01/2023,"3,600.00","3,600.00","3,600.00","3,500.00",841.45K,0.00%
18/01/2023,"3,600.00","3,500.00","3,600.00","3,400.00",1.04M,2.86%
17/01/2023,"3,500.00","3,400.00","3,500.00","3,400.00",552.70K,2.94%
16/01/2023,"3,400.00","3,500.00","3,500.00","3,400.00",459.80K,-2.86%
13/01/2023,"3,500.00","3,500.00","3,600.00","3,400.00",464.50K,2.94%
12/1/2023,"3,400.00","3,500.00","3,600.00","3,400.00",549.48K,-2.86%
11/1/2023,"3,500.00","3,400.00","3,600.00","3,400.00",606.72K,2.94%
10/1/2023,"3,400.00","3,500.00","3,500.00","3,400.00",266.00K,-2.86%
9/1/2023,"3,500.00","3,500.00","3,600.00","3,400.00",635.93K,2.94%
6/1/2023,"3,400.00","3,500.00","3,600.00","3,400.00",622.36K,-2.86%
5/1/2023,"3,500.00","3,500.00","3,600.00","3,400.00",630.55K,0.00%
4/1/2023,"3,500.00","3,600.00","3,600.00","3,400.00",756.75K,0.00%
3/1/2023,"3,500.00","3,300.00","3,600.00","3,300.00",674.04K,6.06%
30/12/2022,"3,300.00","3,400.00","3,400.00","3,300.00",651.36K,0.00%
29/12/2022,"3,300.00","3,300.00","3,500.00","3,300.00",232.96K,-2.94%
28/12/2022,"3,400.00","3,400.00","3,500.00","3,300.00",582.24K,0.00%
27/12/2022,"3,400.00","3,200.00","3,400.00","3,100.00",642.08K,6.25%
26/12/2022,"3,200.00","3,500.00","3,600.00","3,200.00",1.18M,-8.57%
23/12/2022,"3,500.00","3,700.00","3,700.00","3,500.00",749.60K,-5.41%
22/12/2022,"3,700.00","3,700.00","3,800.00","3,500.00",919.41K,0.00%
21/12/2022,"3,700.00","3,900.00","4,000.00","3,600.00",1.48M,-5.13%
20/12/2022,"3,900.00","3,900.00","4,200.00","3,800.00",1.42M,-4.88%
19/12/2022,"4,100.00","3,800.00","4,100.00","3,800.00",2.94M,7.89%
16/12/2022,"3,800.00","3,800.00","3,900.00","3,700.00",478.24K,0.00%
15/12/2022,"3,800.00","3,700.00","3,900.00","3,700.00",692.85K,0.00%
14/12/2022,"3,800.00","3,800.00","3,900.00","3,700.00",817.20K,0.00%
13/12/2022,"3,800.00","3,800.00","3,800.00","3,600.00",788.91K,0.00%
12/12/2022,"3,800.00","3,800.00","4,000.00","3,700.00",1.18M,0.00%
