Date,Price,Open,High,Low,Volume,Change %
5/15/2023,"105,000","105,000","105,000","105,000",0.10K,7.03%
5/12/2023,"98,100","98,100","98,100","98,100",0.10K,-9.33%
5/11/2023,"108,200","102,000","108,800","102,000",3.22K,7.55%
5/10/2023,"100,600","100,600","100,600","100,600",0.11K,-0.10%
5/9/2023,"100,700","100,800","100,800","100,700",0.33K,-0.10%
5/8/2023,"100,800","100,500","100,800","100,500",1.12K,0.80%
5/5/2023,"100,000","100,000","100,000","100,000",0.41K,0.00%
4/28/2023,"100,000","100,000","100,000","100,000",0.40K,0.00%
4/25/2023,"100,000","100,000","100,000","100,000",0.50K,0.00%
4/24/2023,"100,000","100,000","100,000","100,000",2.30K,0.00%
4/21/2023,"100,000","100,000","100,000","100,000",2.70K,0.00%
4/18/2023,"100,000","100,000","100,000","100,000",0.20K,0.00%
4/17/2023,"100,000","100,000","100,000","100,000",1.22K,0.70%
4/14/2023,"99,300","99,200","99,300","99,200",0.60K,-0.10%
4/13/2023,"99,400","99,800","100,000","99,400",0.71K,3.65%
4/12/2023,"95,900","93,600","95,900","93,600",0.21K,-3.91%
4/11/2023,"99,800","100,000","100,000","99,800",0.20K,4.94%
4/10/2023,"95,100","95,100","95,100","95,000",1.00K,-5.00%
4/6/2023,"100,100","100,000","100,100","100,000",0.70K,0.10%
4/5/2023,"100,000","100,000","100,000","99,800",1.70K,0.50%
4/4/2023,"99,500","99,500","99,500","99,500",2.84K,4.74%
4/3/2023,"95,000","94,500","95,000","94,500",2.50K,0.00%
3/31/2023,"95,000","95,000","95,000","95,000",0.10K,-4.52%
3/30/2023,"99,500","93,600","99,500","93,600",0.20K,4.52%
3/29/2023,"95,200","95,200","95,200","95,200",0.40K,0.00%
3/27/2023,"95,200","95,100","95,200","95,100",0.50K,-6.21%
3/23/2023,"101,500","100,000","101,500","100,000",0.20K,-1.46%
3/22/2023,"103,000","105,600","105,600","101,000",2.60K,3.00%
3/21/2023,"100,000","103,000","103,000","100,000",3.11K,-3.29%
3/20/2023,"103,400","103,000","112,000","102,900",6.00K,0.39%
3/16/2023,"103,000","102,000","103,000","102,000",0.22K,0.00%
