Date,Price,Open,High,Low,Volume,Change %
29/12/2020,"18,166.70","18,268.80","18,268.80","17,656.40",155.93K,-0.37%
28/12/2020,"18,234.80","18,200.70","18,336.80","18,030.60",49.93K,0.19%
25/12/2020,"18,200.70","18,200.70","18,336.80","18,030.60",40.35K,0.00%
24/12/2020,"18,200.70","17,860.50","18,200.70","17,860.50",83.89K,0.94%
23/12/2020,"18,030.60","18,268.80","18,268.80","17,894.60",70.04K,-1.30%
22/12/2020,"18,268.80","18,540.90","18,540.90","17,928.60",43.26K,-0.56%
21/12/2020,"18,370.80","18,234.80","18,711.00","17,826.50",139.44K,0.75%
18/12/2020,"18,234.80","18,200.70","18,711.00","17,826.50",108.98K,0.19%
17/12/2020,"18,200.70","18,677.00","18,677.00","18,132.70",38.22K,-0.93%
16/12/2020,"18,370.80","18,609.00","18,745.10","18,302.80",116.96K,-1.46%
15/12/2020,"18,643.00","18,745.10","18,745.10","18,370.80",25.23K,0.18%
14/12/2020,"18,609.00","18,881.10","18,915.20","18,370.80",44.30K,-0.91%
11/12/2020,"18,779.10","18,745.10","18,847.10","18,336.80",50.12K,0.18%
10/12/2020,"18,745.10","18,915.20","18,915.20","18,370.80",37.60K,0.00%
9/12/2020,"18,745.10","19,119.30","19,119.30","18,370.80",28.36K,0.18%
8/12/2020,"18,711.00","18,404.90","19,017.20","18,302.80",139.48K,0.00%
7/12/2020,"18,711.00","20,412.00","20,412.00","18,506.90",65.91K,0.18%
4/12/2020,"18,677.00","18,472.90","18,677.00","18,404.90",104.02K,0.00%
3/12/2020,"18,677.00","18,540.90","18,677.00","18,404.90",37.13K,1.48%
2/12/2020,"18,404.90","18,872.50","18,872.50","18,304.60",162.30K,-0.72%
1/12/2020,"18,538.50","18,171.00","18,605.30","17,970.60",183.26K,3.55%
30/11/2020,"17,903.80","18,271.20","18,371.50","17,903.80",21.87K,-1.65%
27/11/2020,"18,204.40","18,204.40","18,304.60","18,004.00",28.35K,0.00%
26/11/2020,"18,204.40","18,705.50","19,106.30","18,037.40",23.66K,-0.73%
25/11/2020,"18,338.00","18,104.20","18,338.00","17,870.40",35.56K,1.29%
24/11/2020,"18,104.20","18,338.00","19,373.50","17,937.20",29.26K,0.37%
23/11/2020,"18,037.40","18,104.20","18,137.60","17,870.40",33.37K,-0.37%
20/11/2020,"18,104.20","18,371.50","18,872.50","17,870.40",26.60K,0.37%
19/11/2020,"18,037.40","18,137.60","18,137.60","17,870.40",13.16K,0.00%
18/11/2020,"18,037.40","18,137.60","18,137.60","17,970.60",34.18K,0.00%
17/11/2020,"18,037.40","18,037.40","18,171.00","17,903.80",32.03K,0.93%
16/11/2020,"17,870.40","18,204.40","18,204.40","17,837.00",44.24K,-1.83%
13/11/2020,"18,204.40","18,304.60","18,304.60","17,870.40",40.34K,0.18%
12/11/2020,"18,171.00","18,204.40","18,204.40","17,903.80",6.72K,0.00%
11/11/2020,"18,171.00","18,371.50","18,371.50","17,870.40",66.61K,0.00%
10/11/2020,"18,171.00","19,707.60","19,707.60","17,903.80",56.76K,0.00%
9/11/2020,"18,171.00","18,204.40","18,338.00","17,870.40",35.87K,0.74%
6/11/2020,"18,037.40","18,171.00","18,171.00","18,037.40",17.08K,0.00%
5/11/2020,"18,037.40","18,304.60","18,304.60","17,870.40",30.34K,1.12%
4/11/2020,"17,837.00","18,171.00","18,171.00","17,837.00",36.68K,-1.66%
3/11/2020,"18,137.60","18,204.40","18,538.50","18,137.60",23.54K,0.00%
2/11/2020,"18,137.60","18,137.60","18,338.00","18,104.20",17.90K,0.18%
30/10/2020,"18,104.20","18,137.60","18,304.60","17,770.20",58.25K,0.37%
29/10/2020,"18,037.40","17,870.40","18,070.80","17,703.40",34.24K,-0.18%
28/10/2020,"18,070.80","18,004.00","18,338.00","17,903.80",65.24K,-0.18%
27/10/2020,"18,104.20","18,171.00","18,204.40","17,870.40",55.35K,-0.55%
26/10/2020,"18,204.40","18,338.00","18,338.00","17,837.00",144.82K,-0.73%
23/10/2020,"18,338.00","18,404.90","18,438.30","18,037.40",145.18K,-0.72%
22/10/2020,"18,471.70","18,104.20","18,471.70","18,037.40",35.76K,0.00%
21/10/2020,"18,471.70","18,538.50","18,638.70","17,903.80",79.46K,-0.36%
20/10/2020,"18,538.50","18,538.50","18,672.10","18,204.40",32.70K,0.00%
19/10/2020,"18,538.50","18,705.50","18,705.50","18,204.40",101.69K,0.00%
16/10/2020,"18,538.50","18,805.70","18,872.50","18,171.00",55.52K,0.00%
15/10/2020,"18,538.50","17,937.20","18,638.70","17,937.20",96.13K,3.35%
14/10/2020,"17,937.20","17,736.80","18,070.80","17,736.80",74.87K,1.32%
13/10/2020,"17,703.40","17,770.20","18,037.40","17,603.20",74.20K,0.57%
12/10/2020,"17,603.20","17,803.60","17,803.60","17,603.20",50.11K,-0.57%
9/10/2020,"17,703.40","17,937.20","17,937.20","17,536.40",32.29K,-0.56%
8/10/2020,"17,803.60","17,937.20","17,970.60","17,603.20",75.61K,0.00%
7/10/2020,"17,803.60","17,837.00","17,837.00","17,603.20",52.02K,1.72%
6/10/2020,"17,503.00","17,603.20","17,870.40","17,503.00",55.40K,-0.57%
5/10/2020,"17,603.20","18,037.40","18,037.40","17,603.20",33.82K,-0.19%
2/10/2020,"17,636.60","17,703.40","18,037.40","17,603.20",86.46K,0.19%
1/10/2020,"17,603.20","17,870.40","18,037.40","17,603.20",67.12K,-1.50%
30/09/2020,"17,870.40","17,870.40","18,037.40","17,569.80",89.11K,0.00%
29/09/2020,"17,870.40","18,137.60","18,171.00","17,837.00",80.67K,-1.47%
28/09/2020,"18,137.60","18,371.50","18,505.10","17,970.60",81.90K,-1.27%
25/09/2020,"18,371.50","18,438.30","18,538.50","18,104.20",31.74K,-0.36%
24/09/2020,"18,438.30","18,271.20","18,438.30","18,237.80",121.24K,0.00%
23/09/2020,"18,438.30","18,471.70","18,672.10","18,304.60",58.44K,0.00%
22/09/2020,"18,438.30","18,338.00","18,638.70","18,271.20",106.53K,0.00%
21/09/2020,"18,438.30","18,638.70","18,839.10","18,304.60",175.08K,-0.90%
18/09/2020,"18,605.30","18,805.70","18,872.50","18,404.90",45.70K,0.00%
17/09/2020,"18,605.30","19,039.50","19,039.50","18,371.50",105.14K,-0.71%
16/09/2020,"18,738.90","19,039.50","19,039.50","18,605.30",46.25K,0.00%
15/09/2020,"18,738.90","19,340.10","19,340.10","18,738.90",74.26K,-1.23%
14/09/2020,"18,972.70","18,672.10","19,206.50","18,538.50",208.07K,2.34%
11/9/2020,"18,538.50","18,605.30","18,672.10","18,371.50",81.06K,0.18%
10/9/2020,"18,505.10","18,638.70","18,638.70","18,371.50",133.28K,0.00%
9/9/2020,"18,505.10","18,638.70","18,638.70","18,371.50",49.84K,0.18%
8/9/2020,"18,471.70","18,438.30","18,638.70","18,237.80",60.06K,0.55%
7/9/2020,"18,371.50","19,006.10","19,273.30","18,237.80",102.73K,-2.48%
4/9/2020,"18,839.10","18,672.10","18,872.50","18,237.80",150.09K,0.18%
3/9/2020,"18,805.70","19,340.10","19,340.10","18,571.90",85.51K,-0.18%
1/9/2020,"18,839.10","18,872.50","19,173.10","18,538.50",183.73K,1.62%
31/08/2020,"18,538.50","19,206.50","19,373.50","17,970.60",325.75K,0.36%
28/08/2020,"18,471.70","19,206.50","19,340.10","18,338.00",372.43K,-3.83%
27/08/2020,"19,206.50","19,707.60","19,874.60","19,206.50",356.66K,-2.21%
26/08/2020,"19,640.80","21,845.30","21,845.30","19,540.50",212.97K,-1.18%
25/08/2020,"19,874.60","20,709.60","20,709.60","19,707.60",239.37K,-0.33%
24/08/2020,"19,941.40","20,041.60","21,711.70","19,841.20",568.99K,0.34%
21/08/2020,"19,874.60","20,175.20","20,208.60","19,707.60",124.94K,-0.83%
20/08/2020,"20,041.60","20,709.60","20,709.60","19,774.40",254.24K,-1.15%
19/08/2020,"20,275.40","21,043.70","21,043.70","20,108.40",120.58K,0.00%
18/08/2020,"20,275.40","19,874.60","20,709.60","19,874.60",285.92K,2.19%
17/08/2020,"19,841.20","18,805.70","20,008.20","18,705.50",623.73K,8.79%
14/08/2020,"18,237.80","17,736.80","18,972.70","17,736.80",198.82K,0.18%
13/08/2020,"18,204.40","19,039.50","19,473.70","17,369.40",78.90K,0.00%
12/8/2020,"18,204.40","17,703.40","18,371.50","17,536.40",145.47K,-0.55%
11/8/2020,"18,304.60","17,536.40","18,538.50","17,202.40",185.44K,4.38%
10/8/2020,"17,536.40","17,703.40","17,870.40","17,536.40",103.84K,-1.87%
7/8/2020,"17,870.40","18,404.90","18,404.90","17,102.20",300.39K,-2.90%
6/8/2020,"18,404.90","18,505.10","18,571.90","18,037.40",118.08K,-0.90%
5/8/2020,"18,571.90","18,037.40","18,839.10","17,870.40",135.49K,0.36%
4/8/2020,"18,505.10","19,674.20","19,674.20","18,204.40",325.47K,-4.48%
3/8/2020,"19,373.50","20,041.60","20,041.60","19,039.50",189.21K,-2.68%
31/07/2020,"19,908.00","20,342.20","20,375.60","19,540.50",353.30K,1.88%
30/07/2020,"19,540.50","20,041.60","20,041.60","18,505.10",247.00K,5.60%
29/07/2020,"18,505.10","18,304.60","18,538.50","17,703.40",362.75K,1.10%
28/07/2020,"18,304.60","17,536.40","18,338.00","17,369.40",134.01K,5.59%
27/07/2020,"17,336.00","18,037.40","18,104.20","17,035.30",157.22K,-3.71%
24/07/2020,"18,004.00","18,104.20","18,104.20","17,569.80",154.18K,0.37%
23/07/2020,"17,937.20","17,803.60","18,004.00","17,369.40",248.85K,2.09%
22/07/2020,"17,569.80","19,039.50","19,039.50","17,336.00",141.31K,1.15%
21/07/2020,"17,369.40","17,536.40","17,703.40","17,202.40",78.07K,0.97%
20/07/2020,"17,202.40","17,035.30","17,636.60","16,868.30",326.42K,0.00%
17/07/2020,"17,202.40","18,371.50","18,371.50","16,534.30",190.67K,1.38%
16/07/2020,"16,968.50","16,768.10","17,035.30","16,701.30",111.84K,1.20%
15/07/2020,"16,768.10","18,237.80","18,237.80","16,634.50",70.36K,1.01%
14/07/2020,"16,601.10","15,532.20","16,701.30","15,532.20",545.16K,3.54%
13/07/2020,"16,033.30","16,033.30","16,200.30","15,899.70",65.80K,1.70%
10/7/2020,"15,766.00","16,133.50","16,200.30","15,766.00",25.48K,-1.67%
9/7/2020,"16,033.30","15,532.20","16,300.50","15,532.20",86.80K,2.56%
8/7/2020,"15,632.40","15,498.80","15,699.20","15,498.80",53.20K,1.52%
7/7/2020,"15,398.60","15,398.60","15,532.20","15,365.20",33.17K,-0.43%
6/7/2020,"15,465.40","15,331.80","15,498.80","15,331.80",23.80K,0.00%
3/7/2020,"15,465.40","15,198.20","15,465.40","15,198.20",18.62K,1.31%
2/7/2020,"15,265.00","15,231.60","15,365.20","15,098.00",25.48K,0.00%
1/7/2020,"15,265.00","15,064.60","15,398.60","15,064.60",19.04K,0.44%
30/06/2020,"15,198.20","14,997.80","15,365.20","14,997.80",50.81K,0.22%
29/06/2020,"15,164.80","14,730.60","15,198.20","14,730.60",35.57K,-1.73%
26/06/2020,"15,432.00","15,031.20","15,832.90","15,031.20",34.16K,2.90%
25/06/2020,"14,997.80","14,997.80","14,997.80","14,931.00",15.40K,0.22%
24/06/2020,"14,964.40","15,098.00","15,098.00","14,964.40",18.54K,-0.88%
23/06/2020,"15,098.00","15,098.00","15,198.20","14,931.00",24.93K,0.44%
22/06/2020,"15,031.20","15,265.00","15,298.40","14,997.80",40.74K,-1.53%
19/06/2020,"15,265.00","15,198.20","15,265.00","14,964.40",35.28K,0.44%
18/06/2020,"15,198.20","15,298.40","15,331.80","15,031.20",19.88K,-0.44%
17/06/2020,"15,265.00","15,398.60","15,398.60","15,198.20",18.76K,0.44%
16/06/2020,"15,198.20","15,365.20","15,432.00","15,198.20",27.61K,-1.09%
