"Date","Price","Open","High","Low","Vol.","Change %"
"08/08/2022","31,840","31,840","31,840","31,840","21.25K","0.33%"
"08/05/2022","31,734","31,840","31,840","30,779","26.77K","-0.33%"
"08/04/2022","31,840","31,876","31,876","31,840","14.00K","0.00%"
"08/02/2022","31,840","31,876","31,876","31,840","2.25K","-0.55%"
"08/01/2022","32,017","31,876","32,017","31,840","11.50K","0.56%"
"07/29/2022","31,840","32,017","32,017","31,840","1.25K","-0.55%"
"07/28/2022","32,017","32,017","32,017","31,876","10.25K","0.56%"
"07/27/2022","31,840","31,840","31,840","31,840","6.00K","0.00%"
"07/26/2022","31,840","32,017","32,017","31,840","12.50K","-0.55%"
"07/25/2022","32,017","32,194","32,583","32,017","7.00K","-7.65%"
"07/22/2022","34,671","34,671","34,671","34,671","0.25K","6.52%"
"07/20/2022","32,548","34,671","34,671","31,840","48.25K","0.00%"
"07/19/2022","32,548","34,671","34,671","32,548","0.50K","-6.12%"
"07/15/2022","34,671","34,671","34,671","34,671","0.56K","6.41%"
"07/14/2022","32,583","32,583","32,583","32,583","0.26K","0.11%"
"07/13/2022","32,548","32,548","32,548","32,548","1.78K","-1.08%"
"07/12/2022","32,902","32,548","33,079","32,548","71.50K","1.09%"
"07/11/2022","32,548","32,194","32,548","32,194","3.75K","0.00%"
"07/08/2022","32,548","32,548","32,725","32,371","19.50K","1.10%"
"07/07/2022","32,194","32,194","32,548","32,194","5.76K","-1.09%"
"07/06/2022","32,548","32,548","32,548","32,548","5.00K","0.00%"
"07/05/2022","32,548","32,902","32,902","31,840","2.01K","-1.08%"
"07/04/2022","32,902","33,079","33,079","32,902","0.50K","3.34%"
"06/28/2022","31,840","31,840","31,840","31,840","0.25K","0.00%"
"06/27/2022","31,840","31,840","31,840","31,840","2.50K","-3.75%"
"06/24/2022","33,079","33,079","33,079","33,079","0.25K","2.75%"
"06/22/2022","32,194","31,840","32,194","31,840","1.00K","0.55%"
"06/21/2022","32,017","32,017","32,017","32,017","2.50K","0.00%"
"06/17/2022","32,017","32,017","32,017","32,017","0.75K","-1.09%"
"06/16/2022","32,371","32,017","32,442","32,017","8.75K","-2.14%"
"06/15/2022","33,079","33,079","33,079","33,079","1.00K","0.65%"
