"Date","Price","Open","High","Low","Vol.","Change %"
"11/16/2021","115,000","115,000","115,000","115,000","0.10K","-3.36%"
"11/12/2021","119,000","104,100","119,000","104,100","0.30K","2.94%"
"11/11/2021","115,600","115,600","115,600","115,000","4.11K","0.00%"
"11/10/2021","115,600","104,200","115,600","104,200","3.20K","0.00%"
"11/09/2021","115,600","115,600","115,600","115,600","0.60K","9.99%"
"11/08/2021","105,100","105,100","105,100","105,100","0.10K","-9.47%"
"11/04/2021","116,100","104,400","116,100","104,400","0.51K","0.09%"
"11/03/2021","116,000","116,000","116,000","115,500","0.40K","-1.61%"
"11/01/2021","117,900","116,000","117,900","116,000","0.42K","1.64%"
"10/29/2021","116,000","116,000","116,000","116,000","1.00K","0.00%"
"10/28/2021","116,000","116,000","116,000","116,000","0.10K","0.00%"
"10/27/2021","116,000","116,000","116,000","116,000","0.32K","0.00%"
"10/26/2021","116,000","116,000","116,000","116,000","0.10K","0.00%"
"10/25/2021","116,000","116,000","116,000","115,800","1.60K","0.00%"
"10/22/2021","116,000","114,000","116,000","114,000","0.20K","0.00%"
"10/20/2021","116,000","113,000","119,000","112,600","0.60K","0.87%"
"10/19/2021","115,000","132,000","132,000","115,000","0.20K","-4.17%"
"10/15/2021","120,000","126,500","126,500","118,000","3.76K","4.35%"
"10/14/2021","115,000","115,000","115,000","115,000","0.20K","-0.86%"
"10/13/2021","116,000","116,000","116,000","116,000","0.30K","0.00%"
"10/12/2021","116,000","116,000","116,000","116,000","1.00K","-1.53%"
"10/11/2021","117,800","117,800","117,800","117,800","0.10K","0.68%"
"10/08/2021","117,000","117,000","117,000","117,000","0.20K","0.00%"
"10/07/2021","117,000","117,900","117,900","117,000","1.02K","-0.76%"
"10/05/2021","117,900","117,900","117,900","117,900","0.40K","-0.08%"
"10/04/2021","118,000","118,000","118,000","118,000","1.30K","0.00%"
"10/01/2021","118,000","118,000","118,000","118,000","0.20K","1.29%"
"09/29/2021","116,500","116,500","116,500","116,500","0.10K","0.00%"
"09/28/2021","116,500","116,500","116,500","116,500","0.10K","-1.10%"
"09/27/2021","117,800","118,000","118,000","117,800","0.80K","-0.17%"
"09/24/2021","118,000","118,000","118,000","118,000","1.71K","-0.51%"
"09/23/2021","118,600","118,000","118,600","118,000","0.21K","1.37%"
"09/22/2021","117,000","117,000","117,000","117,000","0.50K","-0.76%"
"09/21/2021","117,900","118,000","118,000","116,500","1.00K","-0.08%"
"09/20/2021","118,000","118,000","118,000","117,000","1.91K","0.43%"
"09/17/2021","117,500","117,500","117,500","117,500","0.80K","-2.08%"
"09/14/2021","120,000","120,000","120,000","120,000","1.04K","0.00%"
"09/10/2021","120,000","120,000","120,000","120,000","0.11K","0.00%"
"09/09/2021","120,000","119,900","120,000","119,900","1.50K","0.84%"
