"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2023","21,000.0","20,800.0","21,200.0","20,400.0","67.00K","-0.94%"
"10/30/2023","21,200.0","21,500.0","21,500.0","20,700.0","48.49K","-1.40%"
"10/27/2023","21,500.0","20,400.0","22,000.0","20,200.0","144.77K","5.91%"
"10/26/2023","20,300.0","20,600.0","20,600.0","18,800.0","439.14K","-2.40%"
"10/25/2023","20,800.0","20,500.0","20,800.0","20,300.0","35.12K","1.46%"
"10/24/2023","20,500.0","20,400.0","21,000.0","20,000.0","88.19K","0.49%"
"10/23/2023","20,400.0","20,900.0","20,900.0","20,200.0","40.35K","-1.45%"
"10/20/2023","20,700.0","20,900.0","20,900.0","20,000.0","80.12K","0.49%"
"10/19/2023","20,600.0","20,600.0","20,900.0","20,200.0","75.24K","-1.44%"
"10/18/2023","20,900.0","21,600.0","22,300.0","20,400.0","148.16K","-3.24%"
"10/17/2023","21,600.0","22,600.0","22,800.0","21,600.0","139.50K","-4.42%"
"10/16/2023","22,600.0","22,800.0","23,000.0","22,400.0","139.26K","0.44%"
"10/13/2023","22,500.0","21,500.0","22,600.0","21,500.0","332.44K","6.13%"
"10/12/2023","21,200.0","21,700.0","21,700.0","21,000.0","101.21K","-0.93%"
"10/11/2023","21,400.0","21,800.0","21,800.0","21,000.0","70.20K","-0.93%"
"10/10/2023","21,600.0","19,900.0","21,800.0","19,900.0","438.09K","8.54%"
"10/09/2023","19,900.0","19,700.0","19,900.0","19,300.0","109.90K","1.02%"
"10/06/2023","19,700.0","19,700.0","20,300.0","19,400.0","50.81K","0.00%"
"10/05/2023","19,700.0","20,000.0","20,500.0","19,500.0","70.20K","0.00%"
"10/04/2023","19,700.0","20,400.0","20,400.0","19,400.0","91.12K","-3.43%"
"10/03/2023","20,400.0","20,700.0","21,000.0","18,900.0","344.78K","-2.86%"
"10/02/2023","21,000.0","21,600.0","22,500.0","20,500.0","50.64K","-0.94%"
"09/29/2023","21,200.0","19,400.0","21,300.0","19,000.0","158.06K","9.28%"
"09/28/2023","19,400.0","19,600.0","19,600.0","19,200.0","62.54K","-1.02%"
"09/27/2023","19,600.0","20,200.0","20,200.0","19,200.0","92.56K","-2.49%"
"09/26/2023","20,100.0","20,700.0","20,700.0","19,500.0","87.29K","-2.90%"
"09/25/2023","20,700.0","21,700.0","21,700.0","19,800.0","66.66K","-1.90%"
"09/22/2023","21,100.0","21,800.0","21,800.0","21,100.0","67.12K","-3.21%"
"09/21/2023","21,800.0","21,500.0","21,800.0","21,500.0","29.19K","0.46%"
"09/20/2023","21,700.0","22,000.0","22,000.0","21,200.0","80.48K","0.93%"
"09/19/2023","21,500.0","22,000.0","22,000.0","21,200.0","66.82K","-0.92%"
"09/18/2023","21,700.0","21,900.0","21,900.0","21,500.0","104.35K","0.00%"
"09/15/2023","21,700.0","22,400.0","22,400.0","21,700.0","68.05K","-1.81%"
"09/14/2023","22,100.0","22,500.0","22,500.0","22,000.0","70.52K","0.00%"
"09/13/2023","22,100.0","22,500.0","22,700.0","22,100.0","111.55K","-1.78%"
"09/12/2023","22,500.0","22,600.0","22,700.0","22,300.0","96.23K","-0.88%"
"09/11/2023","22,700.0","23,300.0","23,300.0","22,400.0","98.09K","-1.30%"
"09/08/2023","23,000.0","23,300.0","23,300.0","22,900.0","62.90K","0.00%"
"09/07/2023","23,000.0","23,300.0","23,300.0","22,800.0","120.51K","-0.86%"
"09/06/2023","23,200.0","23,200.0","23,200.0","22,900.0","102.84K","0.43%"
"09/05/2023","23,100.0","23,200.0","23,900.0","22,900.0","57.68K","0.43%"
"08/31/2023","23,000.0","22,900.0","23,400.0","22,600.0","90.28K","1.77%"
"08/30/2023","22,600.0","23,400.0","23,400.0","22,500.0","70.46K","-3.00%"
"08/29/2023","23,300.0","23,900.0","24,000.0","23,100.0","61.35K","-0.43%"
"08/28/2023","23,400.0","22,500.0","24,000.0","22,000.0","209.21K","5.41%"
"08/25/2023","22,200.0","22,200.0","22,500.0","22,000.0","82.98K","0.00%"
"08/24/2023","22,200.0","22,200.0","22,300.0","21,800.0","69.96K","0.00%"
"08/23/2023","22,200.0","22,900.0","22,900.0","22,200.0","97.33K","-2.63%"
"08/22/2023","22,800.0","23,400.0","23,400.0","22,400.0","75.89K","-0.87%"
"08/21/2023","23,000.0","24,500.0","24,500.0","22,500.0","90.53K","-0.43%"
"08/18/2023","23,100.0","24,500.0","24,500.0","23,000.0","335.89K","-5.71%"
"08/17/2023","24,500.0","25,500.0","25,500.0","24,000.0","347.88K","-3.92%"
"08/16/2023","25,500.0","28,000.0","28,000.0","25,400.0","574.58K","-5.90%"
"08/15/2023","27,100.0","28,000.0","28,000.0","27,100.0","43.72K","-2.17%"
"08/14/2023","27,700.0","27,800.0","28,300.0","27,300.0","54.52K","-0.36%"
"08/11/2023","27,800.0","28,000.0","28,600.0","27,500.0","24.47K","-1.07%"
"08/10/2023","28,100.0","28,100.0","30,300.0","27,700.0","79.08K","1.44%"
"08/09/2023","27,700.0","27,400.0","27,900.0","27,400.0","36.80K","1.09%"
"08/08/2023","27,400.0","27,600.0","27,900.0","27,300.0","61.14K","-1.79%"
"08/07/2023","27,900.0","28,000.0","28,000.0","27,300.0","108.71K","-0.36%"
"08/04/2023","28,000.0","28,400.0","28,400.0","27,800.0","53.03K","0.00%"
"08/03/2023","28,000.0","28,500.0","28,500.0","27,800.0","40.85K","-0.71%"
"08/02/2023","28,200.0","27,500.0","28,500.0","27,000.0","76.44K","2.55%"
"08/01/2023","27,500.0","28,000.0","28,000.0","27,500.0","37.90K","-1.79%"
"07/31/2023","28,000.0","28,400.0","28,400.0","27,700.0","64.14K","0.00%"
"07/28/2023","28,000.0","28,500.0","28,500.0","27,800.0","45.21K","-1.41%"
"07/27/2023","28,400.0","28,800.0","28,800.0","27,800.0","64.32K","0.00%"
"07/26/2023","28,400.0","28,800.0","28,800.0","27,800.0","230.84K","0.00%"
"07/25/2023","28,400.0","29,000.0","29,000.0","27,900.0","110.24K","-2.07%"
"07/24/2023","29,000.0","28,000.0","29,000.0","27,200.0","162.70K","4.69%"
"07/21/2023","27,700.0","27,300.0","27,900.0","26,800.0","131.50K","0.73%"
"07/20/2023","27,500.0","27,700.0","27,700.0","27,100.0","56.57K","0.00%"
"07/19/2023","27,500.0","27,100.0","27,800.0","25,300.0","53.44K","0.00%"
"07/18/2023","27,500.0","27,900.0","27,900.0","27,200.0","30.90K","-0.36%"
"07/17/2023","27,600.0","27,700.0","28,000.0","27,200.0","68.16K","0.00%"
"07/14/2023","27,600.0","28,000.0","28,000.0","27,200.0","76.46K","-1.78%"
"07/13/2023","28,100.0","26,300.0","28,700.0","26,000.0","394.00K","7.66%"
"07/12/2023","26,100.0","26,700.0","26,900.0","26,100.0","111.98K","-2.25%"
"07/11/2023","26,700.0","26,900.0","27,400.0","26,300.0","135.96K","0.75%"
"07/10/2023","26,500.0","26,200.0","27,000.0","25,500.0","123.72K","1.53%"
"07/07/2023","26,100.0","23,000.0","26,900.0","23,000.0","288.57K","4.40%"
"07/06/2023","25,000.0","26,300.0","26,500.0","25,000.0","196.24K","-4.94%"
"07/05/2023","26,300.0","26,300.0","26,900.0","25,900.0","103.91K","0.00%"
"07/04/2023","26,300.0","27,000.0","27,000.0","26,200.0","118.02K","-2.59%"
"07/03/2023","27,000.0","28,000.0","28,300.0","26,500.0","117.77K","-2.17%"
"06/30/2023","27,600.0","26,600.0","27,700.0","26,000.0","229.52K","0.00%"
"06/29/2023","27,600.0","32,000.0","32,000.0","27,500.0","168.75K","-6.12%"
"06/28/2023","29,400.0","31,500.0","31,500.0","28,700.0","576.68K","2.44%"
"06/27/2023","28,700.0","28,600.0","28,700.0","28,500.0","119.62K","9.96%"
"06/26/2023","26,100.0","21,500.0","26,100.0","21,500.0","151.03K","9.66%"
"06/23/2023","23,800.0","23,800.0","23,800.0","23,300.0","413.15K","9.61%"
"06/22/2023","21,714.3","21,357.2","21,964.3","21,178.6","580.37K","2.01%"
"06/21/2023","21,285.7","21,428.6","21,607.2","21,178.6","410.33K","-0.17%"
"06/20/2023","21,321.4","21,607.2","21,607.2","21,214.3","426.85K","0.34%"
"06/19/2023","21,250.0","21,250.0","21,964.3","21,000.0","665.43K","1.71%"
"06/16/2023","20,892.9","20,642.9","20,928.6","20,357.2","329.57K","1.21%"
"06/15/2023","20,642.9","21,071.4","21,071.4","20,357.2","152.34K","-2.03%"
"06/14/2023","21,071.4","21,071.4","21,428.6","20,535.7","299.68K","0.00%"
"06/13/2023","21,071.4","21,964.3","21,964.3","21,000.0","395.69K","-1.67%"
"06/12/2023","21,428.6","21,428.6","22,142.9","21,035.7","269.33K","1.70%"
"06/09/2023","21,071.4","22,142.9","22,214.3","20,892.9","599.29K","-1.99%"
"06/08/2023","21,500.0","20,178.6","21,857.2","20,000.0","1.34M","8.08%"
"06/07/2023","19,892.9","19,107.2","19,928.6","18,928.6","583.67K","5.09%"
"06/06/2023","18,928.6","18,571.4","19,035.7","18,392.9","927.22K","3.92%"
"06/05/2023","18,214.3","18,500.0","18,500.0","18,107.2","135.52K","0.00%"
"06/02/2023","18,214.3","17,714.3","18,535.7","17,607.1","320.14K","2.20%"
"06/01/2023","17,821.4","17,857.2","18,178.6","17,535.7","335.75K","-0.20%"
"05/31/2023","17,857.2","17,857.2","18,178.6","17,500.0","287.21K","2.04%"
"05/30/2023","17,500.0","16,714.3","17,785.7","16,571.4","286.16K","5.38%"
"05/29/2023","16,607.1","16,321.4","16,678.6","16,214.3","245.29K","1.97%"
"05/26/2023","16,285.7","16,285.7","16,285.7","16,071.4","78.96K","0.22%"
"05/25/2023","16,250.0","16,250.0","16,428.6","15,821.4","144.40K","0.89%"
"05/24/2023","16,107.1","16,571.4","16,571.4","16,107.1","75.60K","-1.53%"
"05/23/2023","16,357.1","16,428.6","16,428.6","16,178.6","21.51K","0.00%"
"05/22/2023","16,357.1","16,607.1","16,607.1","16,214.3","35.28K","0.88%"
"05/19/2023","16,214.3","16,750.0","16,750.0","16,214.3","71.96K","-2.58%"
"05/18/2023","16,642.9","16,428.6","16,750.0","16,178.6","110.04K","3.10%"
"05/17/2023","16,142.9","16,428.6","16,678.6","16,142.9","63.02K","-1.74%"
"05/16/2023","16,428.6","16,607.1","16,714.3","16,107.1","52.08K","-0.22%"
"05/15/2023","16,464.3","16,464.3","16,785.7","16,142.9","85.42K","0.00%"
"05/12/2023","16,464.3","16,285.7","16,964.3","15,464.3","118.28K","-0.22%"
"05/11/2023","16,500.0","17,142.9","17,142.9","16,428.6","118.17K","-2.53%"
"05/10/2023","16,928.6","17,142.9","17,142.9","16,785.7","187.04K","0.00%"
"05/09/2023","16,928.6","17,142.9","17,142.9","16,714.3","105.95K","-1.04%"
"05/08/2023","17,107.1","16,785.7","17,178.6","16,607.1","165.58K","3.23%"
"05/05/2023","16,571.4","16,357.1","16,892.9","16,321.4","172.84K","1.75%"
"05/04/2023","16,285.7","15,642.9","16,357.1","15,571.4","281.88K","4.59%"
"04/28/2023","15,571.4","15,714.3","15,714.3","15,357.1","76.73K","-0.23%"
"04/27/2023","15,607.1","16,071.4","16,071.4","15,464.3","109.76K","0.00%"
"04/26/2023","15,607.1","15,571.4","15,642.9","15,357.1","112.56K","0.23%"
"04/25/2023","15,571.4","15,892.9","16,428.6","15,357.1","172.78K","-1.36%"
"04/24/2023","15,785.7","15,214.3","16,035.7","15,000.0","327.33K","6.51%"
"04/21/2023","14,821.4","14,142.9","15,357.1","14,142.9","399.84K","4.80%"
"04/20/2023","14,142.9","14,142.9","14,392.9","14,035.7","53.20K","0.00%"
"04/19/2023","14,142.9","14,142.9","14,142.9","14,035.7","8.12K","1.02%"
"04/18/2023","14,000.0","14,178.6","14,250.0","14,000.0","40.33K","0.51%"
"04/17/2023","13,928.6","14,285.7","14,285.7","13,857.1","24.36K","-1.76%"
"04/14/2023","14,178.6","14,250.0","14,250.0","13,857.1","50.12K","-0.50%"
"04/13/2023","14,250.0","14,392.9","14,392.9","14,035.7","31.36K","-0.25%"
"04/12/2023","14,285.7","14,464.3","14,464.3","14,107.1","31.64K","0.00%"
"04/11/2023","14,285.7","14,250.0","14,464.3","14,071.4","17.64K","0.25%"
"04/10/2023","14,250.0","14,321.4","14,464.3","14,107.1","85.12K","0.00%"
"04/07/2023","14,250.0","14,857.1","15,000.0","13,928.6","68.07K","-0.25%"
"04/06/2023","14,285.7","14,392.9","14,464.3","14,285.7","19.32K","-0.50%"
"04/05/2023","14,357.1","14,285.7","14,464.3","14,285.7","58.52K","0.25%"
"04/04/2023","14,321.4","14,178.6","14,392.9","14,107.1","65.24K","1.01%"
